,from_node,to_node,edge_tt,edge_var,distance
,135100.0,135101.0,4.47,0.0,34.46
,135104.0,135105.0,21.98,0.0,179.41
,135126.0,135127.0,13.11,0.0,101.64
,135130.0,135131.0,7.01,0.0,57.05
,135134.0,135135.0,17.18,0.0,153.97
,135136.0,135137.0,14.89,0.0,183.28
,135138.0,135139.0,13.8,0.0,96.68
,135162.0,135163.0,5.7,0.0,80.09
,135164.0,135165.0,3.63,0.0,47.99
,135166.0,135167.0,0.04,0.0,0.17
,135168.0,135169.0,12.07,0.0,140.87
,135194.0,135195.0,19.27,0.0,230.69
,135222.0,135223.0,1.72,0.0,23.83
,135234.0,135235.0,8.3,0.0,29.05
,135236.0,135237.0,7.06,0.0,58.23
,135238.0,135239.0,36.91,0.0,292.69
,135244.0,135245.0,,0.0,0.2
,135246.0,135247.0,5.08,0.0,70.81
,135248.0,135249.0,11.5,0.0,160.68
,135250.0,135251.0,8.25,0.0,46.23
,135252.0,135253.0,24.38,0.0,198.45
,135266.0,135267.0,3.14,0.0,36.79
,135268.0,135269.0,6.38,0.0,78.42
,135270.0,135271.0,9.14,0.0,109.44
,135272.0,135273.0,16.02,0.0,151.43
,135274.0,135275.0,75.11,0.0,967.6
,135276.0,135277.0,14.32,0.0,118.0
,135282.0,135283.0,10.6,0.0,37.78
,135284.0,135285.0,7.3,0.0,33.08
,135286.0,135287.0,29.05,0.0,221.47
,135288.0,135289.0,1.82,0.0,23.51
,135290.0,135291.0,18.1,0.0,35.71
,135292.0,135293.0,1.43,0.0,4.73
,135294.0,135295.0,0.31,0.0,4.44
,135300.0,135301.0,27.59,0.0,221.48
,135306.0,135307.0,16.07,0.0,127.95
,135310.0,135311.0,1.84,0.0,13.36
,135334.0,135335.0,15.31,0.0,122.46
,135352.0,135353.0,38.85,0.0,35.96
,135386.0,135387.0,6.42,0.0,61.98
,135388.0,135389.0,14.39,0.0,185.92
,135390.0,135391.0,19.26,0.0,264.95
,135402.0,135403.0,30.04,0.0,264.53
,135414.0,135415.0,1.94,0.0,15.88
,135428.0,135429.0,2.67,0.0,45.46
,135432.0,135433.0,15.56,0.0,177.96
,135434.0,135435.0,2.13,0.0,25.52
,135436.0,135437.0,8.55,0.0,60.03
,135452.0,135453.0,6.58,0.0,53.5
,135454.0,135455.0,12.78,0.0,101.02
,135586.0,135587.0,25.11,0.0,332.46
,135592.0,135593.0,2.96,0.0,25.16
,135620.0,135621.0,13.58,0.0,184.18
,135622.0,135623.0,2.53,0.0,54.32
,135624.0,135625.0,18.29,0.0,153.9
,135628.0,135629.0,27.44,0.0,173.64
,135636.0,135637.0,24.17,0.0,235.16
,135656.0,135657.0,12.86,0.0,161.67
,135688.0,135689.0,28.54,0.0,395.0
,135694.0,135695.0,8.28,0.0,71.36
,135698.0,135699.0,26.41,0.0,273.44
,135724.0,135725.0,28.16,0.0,361.62
,135726.0,135727.0,3.82,0.0,52.36
