from_node,to_node,edge_tt,distance,source_edge_id,edge_var
3722.0,3723.0,12.4,143.44,-138515677#1,0.0
3724.0,3725.0,10.85,125.7,-138515677#2,0.0
3726.0,3727.0,12.9,149.22,-138515677#3,0.0
3728.0,3729.0,29.72,217.17,-138522482,0.0
3750.0,3751.0,45.27,278.35,-13861133,0.0
3768.0,3769.0,19.8,167.63,-138861604#2,0.0
3814.0,3815.0,16.92,244.89,-14025490#0,0.0
3816.0,3817.0,16.59,239.62,-14025490#1,0.0
3850.0,3851.0,27.98,182.21,-140498882#2,0.0
3856.0,3857.0,18.88,123.64,-140549156,0.0
4004.0,4005.0,24.19,196.89,-141220151#2,0.0
4006.0,4007.0,5.86,86.97,-141220979#0,0.0
4008.0,4009.0,8.47,88.36,-141220979#1,0.0
4046.0,4047.0,31.96,272.38,-141307149,0.0
4052.0,4053.0,34.5,279.16,-141307153,0.0
4072.0,4073.0,26.36,206.15,-141317917#2,0.0
4078.0,4079.0,16.51,117.93,-141317919#1,0.0
4204.0,4205.0,9.26,115.26,-142018575,0.0
4286.0,4287.0,11.07,164.45,-142064614#0,0.0
4288.0,4289.0,6.51,74.89,-142064614#1,0.0
4290.0,4291.0,7.61,43.27,-142064744#2,0.0
4302.0,4303.0,5.23,81.8,-142138183#0,0.0
4304.0,4305.0,4.97,78.14,-142138183#1,0.0
4306.0,4307.0,5.09,79.58,-142138183#2,0.0
4308.0,4309.0,3.85,60.78,-142138183#4,0.0
4310.0,4311.0,5.55,86.45,-142138183#5,0.0
4312.0,4313.0,8.45,131.76,-142138183#6,0.0
4314.0,4315.0,70.85,843.38,-142150660,0.0
4326.0,4327.0,27.79,210.83,-142161211#0,0.0
4346.0,4347.0,10.57,79.16,-142571958#0,0.0
4356.0,4357.0,14.51,105.96,-142574665#0,0.0
4358.0,4359.0,25.61,178.4,-142574665#1,0.0
4360.0,4361.0,14.07,73.32,-142574665#2,0.0
4366.0,4367.0,5.14,36.18,-142574736#0,0.0
4368.0,4369.0,10.27,75.57,-142574736#1,0.0
4456.0,4457.0,22.98,187.34,-142576830#0,0.0
4458.0,4459.0,36.9,299.82,-142576830#1,0.0
4460.0,4461.0,2.2,17.72,-142576830#2,0.0
4462.0,4463.0,34.61,276.51,-142576830#3,0.0
4548.0,4549.0,51.43,378.82,-142810557#2,0.0
4612.0,4613.0,23.67,310.19,-142810568#0,0.0
4632.0,4633.0,7.24,58.68,-142810575#0,0.0
4634.0,4635.0,4.39,8.94,-142810575#1,0.0
4636.0,4637.0,6.06,68.9,-142810576#0,0.0
4648.0,4649.0,10.14,81.3,-142811428#2,0.0
4660.0,4661.0,30.26,221.7,-142900577#0,0.0
4662.0,4663.0,8.54,57.64,-142900577#1,0.0
4702.0,4703.0,21.58,153.28,-143405006,0.0
4714.0,4715.0,60.51,459.77,-14352662,0.0
4774.0,4775.0,27.66,222.67,-143722181#0,0.0
4782.0,4783.0,18.76,130.44,-143722559,0.0
4828.0,4829.0,25.35,248.18,-144131213,0.0
4830.0,4831.0,15.15,237.86,-144132830,0.0
4832.0,4833.0,10.63,130.67,-144134101#0,0.0
4834.0,4835.0,1.17,11.3,-144134101#1,0.0
5022.0,5023.0,50.4,438.04,-144909690,0.0
5024.0,5025.0,10.56,13.0,-144909691#2,0.0
5026.0,5027.0,9.06,113.51,-144909693#0,0.0
5028.0,5029.0,10.71,134.01,-144909693#1,0.0
5030.0,5031.0,15.74,150.92,-144909694#0,0.0
5032.0,5033.0,7.53,81.94,-144909694#1,0.0
5034.0,5035.0,23.42,235.85,-144909694#2,0.0
5084.0,5085.0,12.09,118.54,-144945039#2,0.0
5086.0,5087.0,7.53,99.51,-144945039#3,0.0
5088.0,5089.0,9.78,109.68,-144945039#4,0.0
5090.0,5091.0,7.56,100.87,-144945039#5,0.0
5092.0,5093.0,7.5,101.1,-144945039#6,0.0
5094.0,5095.0,6.11,82.07,-144945039#7,0.0
5096.0,5097.0,5.52,74.28,-144945039#8,0.0
5098.0,5099.0,3.31,12.56,-144962817#1,0.0
5100.0,5101.0,46.69,123.04,-144962817#2,0.0
5102.0,5103.0,17.82,101.88,-144962817#3,0.0
5106.0,5107.0,11.64,158.57,-145009991#0,0.0
5108.0,5109.0,14.99,203.54,-145009991#1,0.0
5110.0,5111.0,1.88,26.2,-145009991#2,0.0
5112.0,5113.0,11.89,161.76,-145009991#3,0.0
5114.0,5115.0,6.55,89.58,-145009991#4,0.0
5116.0,5117.0,22.07,155.51,-145053411#0,0.0
5118.0,5119.0,10.97,115.71,-145053411#1,0.0
5122.0,5123.0,7.91,101.64,-145055197#1,0.0
5124.0,5125.0,7.63,100.3,-145055197#2,0.0
5126.0,5127.0,9.64,120.66,-145055197#3,0.0
5128.0,5129.0,6.22,81.71,-145055197#4,0.0
5132.0,5133.0,5.44,79.85,-145061503,0.0
5220.0,5221.0,14.24,200.76,-145586617#0,0.0
5222.0,5223.0,11.41,167.25,-145586617#1,0.0
5224.0,5225.0,16.58,243.98,-145586617#2,0.0
5226.0,5227.0,19.44,285.32,-145586617#4,0.0
5228.0,5229.0,40.28,575.41,-145586617#5,0.0
5342.0,5343.0,15.07,103.23,-145915282#0,0.0
5350.0,5351.0,11.14,82.69,-145915282#5,0.0
5352.0,5353.0,7.67,57.76,-145915282#6,0.0
5362.0,5363.0,11.77,50.12,-145933306#0,0.0
5470.0,5471.0,5.32,54.23,-146511452,0.0
5562.0,5563.0,5.55,69.01,-146911392#0,0.0
5564.0,5565.0,7.9,88.65,-146911392#1,0.0
5566.0,5567.0,16.56,119.68,-146911392#6,0.0
5568.0,5569.0,1.65,20.58,-146911392#7,0.0
5578.0,5579.0,10.23,75.8,-146911405#0,0.0
5632.0,5633.0,14.85,231.22,-147432169#0,0.0
5634.0,5635.0,3.33,51.9,-147432169#1,0.0
5680.0,5681.0,25.45,201.08,-147476175,0.0
5688.0,5689.0,8.77,68.4,-147476181#3,0.0
5690.0,5691.0,9.78,72.24,-147476181#4,0.0
5704.0,5705.0,3.97,25.53,-147557792,0.0
5706.0,5707.0,3.73,27.9,-147557793#0,0.0
5708.0,5709.0,94.06,789.63,-147557793#1,0.0
5710.0,5711.0,29.69,204.13,-147563892#0,0.0
5712.0,5713.0,13.36,93.43,-147563892#1,0.0
5714.0,5715.0,17.01,117.77,-147563892#2,0.0
5724.0,5725.0,28.1,202.13,-147563894,0.0
5726.0,5727.0,35.89,243.32,-147563903#0,0.0
5732.0,5733.0,19.91,144.95,-147563907#0,0.0
5734.0,5735.0,17.87,130.94,-147563907#1,0.0
5736.0,5737.0,19.53,142.09,-147563907#2,0.0
5740.0,5741.0,15.23,104.23,-147563908,0.0
5784.0,5785.0,1.06,15.55,-147664186,0.0
5860.0,5861.0,2.16,15.98,-148032654#7,0.0
5862.0,5863.0,2.88,22.15,-148032655#0,0.0
5864.0,5865.0,5.55,53.4,-148032655#1,0.0
5886.0,5887.0,2.25,17.07,-148035220,0.0
5964.0,5965.0,19.2,138.87,-148059633,0.0
5976.0,5977.0,51.91,356.31,-148074481#1,0.0
5978.0,5979.0,8.36,111.64,-148074488#0,0.0
5980.0,5981.0,6.48,86.51,-148074488#1,0.0
5982.0,5983.0,14.48,170.09,-148074488#2,0.0
5984.0,5985.0,12.86,128.78,-148074488#3,0.0
5992.0,5993.0,25.77,170.16,-148074505,0.0
6008.0,6009.0,14.28,118.12,-148074976,0.0
6078.0,6079.0,35.19,289.25,-148082121,0.0
6080.0,6081.0,19.52,240.52,-148082122#0,0.0
6082.0,6083.0,18.88,264.57,-148082122#1,0.0
6084.0,6085.0,17.49,245.72,-148082122#2,0.0
6212.0,6213.0,10.27,122.98,-148288808,0.0
6214.0,6215.0,32.64,217.92,-148288810#0,0.0
6216.0,6217.0,33.18,226.19,-148288810#1,0.0
6222.0,6223.0,5.85,41.48,-148292271#0,0.0
6232.0,6233.0,23.46,183.83,-148292273#0,0.0
6256.0,6257.0,32.02,255.53,-148295048#0,0.0
6320.0,6321.0,7.77,100.01,-148309505#0,0.0
6322.0,6323.0,10.19,125.78,-148309505#1,0.0
6324.0,6325.0,21.01,144.06,-148309505#12,0.0
6326.0,6327.0,1.53,4.44,-148309505#5,0.0
6328.0,6329.0,14.28,132.07,-148309505#6,0.0
6330.0,6331.0,9.62,119.85,-148309505#7,0.0
6342.0,6343.0,0.02,0.2,-148312433#0,0.0
6344.0,6345.0,0.76,4.21,-148312433#1,0.0
6346.0,6347.0,4.96,40.38,-148312433#2,0.0
6348.0,6349.0,0.43,4.3,-148312434#0,0.0
6350.0,6351.0,9.78,34.88,-148312434#4,0.0
6420.0,6421.0,26.87,214.52,-148331035#0,0.0
6422.0,6423.0,19.81,155.78,-148331035#1,0.0
6424.0,6425.0,33.29,248.86,-148331035#2,0.0
6430.0,6431.0,15.4,125.07,-148331036#0,0.0
6436.0,6437.0,22.84,262.08,-148331037#0,0.0
6438.0,6439.0,8.13,88.57,-148331037#1,0.0
6440.0,6441.0,17.85,229.19,-148331037#2,0.0
6442.0,6443.0,8.41,81.62,-148331037#3,0.0
6444.0,6445.0,10.84,108.11,-148331037#4,0.0
6446.0,6447.0,6.81,68.43,-148331037#5,0.0
6448.0,6449.0,11.91,83.05,-148331037#7,0.0
6450.0,6451.0,6.12,82.05,-148331037#8,0.0
6512.0,6513.0,11.27,82.0,-148521793#0,0.0
6514.0,6515.0,5.09,37.77,-148521793#1,0.0
6516.0,6517.0,9.47,68.93,-148521793#2,0.0
6532.0,6533.0,22.97,188.38,-148521800#1,0.0
6558.0,6559.0,44.02,338.14,-148614159#0,0.0
6560.0,6561.0,13.37,152.32,-148614162,0.0
6566.0,6567.0,4.2,29.7,-148614174,0.0
6588.0,6589.0,39.55,252.08,-148616199,0.0
6610.0,6611.0,7.97,62.57,-148662257#0,0.0
6612.0,6613.0,12.22,101.84,-148662257#1,0.0
6614.0,6615.0,14.26,118.01,-148662257#2,0.0
6616.0,6617.0,27.0,225.73,-148662257#3,0.0
6624.0,6625.0,22.2,138.42,-148664976,0.0
6634.0,6635.0,24.57,174.02,-148665002#0,0.0
6718.0,6719.0,13.3,118.11,-148666424#0,0.0
6720.0,6721.0,8.28,71.39,-148666424#1,0.0
6722.0,6723.0,20.71,191.37,-148666424#2,0.0
6782.0,6783.0,7.79,99.76,-148670262,0.0
6870.0,6871.0,10.65,94.56,-148789438#2,0.0
6890.0,6891.0,7.33,95.69,-148789442#0,0.0
6892.0,6893.0,14.69,186.88,-148789442#1,0.0
6896.0,6897.0,1.26,7.92,-148790503#0,0.0
6898.0,6899.0,5.22,24.68,-148790503#1,0.0
6900.0,6901.0,3.52,46.47,-148790503#2,0.0
6902.0,6903.0,6.79,85.49,-148790503#3,0.0
6916.0,6917.0,7.13,95.42,-148808638#0,0.0
6918.0,6919.0,8.0,107.03,-148808638#1,0.0
6920.0,6921.0,17.27,229.97,-148808638#2,0.0
6922.0,6923.0,4.79,64.58,-148808638#3,0.0
6924.0,6925.0,4.63,62.03,-148808638#4,0.0
6926.0,6927.0,3.74,49.8,-148808638#5,0.0
6928.0,6929.0,14.47,174.47,-148808648#0,0.0
6930.0,6931.0,9.62,123.52,-148808648#1,0.0
6972.0,6973.0,35.26,279.22,-149478528#0,0.0
6974.0,6975.0,13.69,102.06,-149478528#1,0.0
6976.0,6977.0,13.28,78.05,-149478528#2,0.0
7082.0,7083.0,2.12,23.48,-149849318#0,0.0
7108.0,7109.0,5.14,73.02,-149849327#0,0.0
7110.0,7111.0,16.96,225.91,-149849327#1,0.0
7112.0,7113.0,8.13,120.48,-149849709#0,0.0
7114.0,7115.0,7.58,112.32,-149849709#1,0.0
7170.0,7171.0,2.86,39.94,-149994023#0,0.0
7172.0,7173.0,4.68,65.65,-149994023#1,0.0
7174.0,7175.0,2.37,33.42,-149994023#2,0.0
7176.0,7177.0,11.65,133.95,-149994023#3,0.0
7216.0,7217.0,44.62,394.49,-150206503,0.0
7246.0,7247.0,6.64,94.31,-150256318#2,0.0
7252.0,7253.0,21.84,170.3,-150256321,0.0
7282.0,7283.0,31.04,177.06,-150429098#0,0.0
7284.0,7285.0,25.4,217.63,-150429098#1,0.0
7312.0,7313.0,9.3,101.17,-150519560,0.0
7318.0,7319.0,2.28,16.52,-150682012#1,0.0
7320.0,7321.0,2.9,21.84,-150684000,0.0
7334.0,7335.0,12.37,100.01,-150907204#0,0.0
7336.0,7337.0,17.34,140.97,-150907204#1,0.0
7372.0,7373.0,42.54,300.68,-150916958#0,0.0
7412.0,7413.0,11.97,93.13,-150916979#1,0.0
7434.0,7435.0,11.27,88.78,-150916985#0,0.0
7436.0,7437.0,11.37,85.32,-150916985#1,0.0
7450.0,7451.0,8.38,61.44,-150916988#0,0.0
7452.0,7453.0,4.27,29.66,-150916988#1,0.0
7454.0,7455.0,11.57,85.14,-150916988#2,0.0
7456.0,7457.0,17.6,128.63,-150916988#3,0.0
7468.0,7469.0,36.22,261.03,-150916989#0,0.0
7472.0,7473.0,12.92,105.52,-150916990#0,0.0
7474.0,7475.0,48.82,403.88,-150916990#1,0.0
7476.0,7477.0,12.19,66.48,-150916990#2,0.0
7478.0,7479.0,24.33,187.83,-150916993,0.0
7480.0,7481.0,13.56,180.31,-150928564,0.0
7488.0,7489.0,23.78,186.96,-150937052,0.0
7532.0,7533.0,2.13,15.25,-151020311#2,0.0
7538.0,7539.0,14.78,103.19,-151020315#2,0.0
7540.0,7541.0,6.18,19.75,-151020315#3,0.0
7548.0,7549.0,14.56,99.28,-151020321#2,0.0
7600.0,7601.0,16.49,132.81,-151044535#6,0.0
7602.0,7603.0,26.03,208.67,-151045020,0.0
7618.0,7619.0,12.21,100.13,-151128628#2,0.0
7630.0,7631.0,7.79,47.51,-151128678#1,0.0
7672.0,7673.0,10.56,148.2,-151353899#0,0.0
7674.0,7675.0,0.87,14.95,-151353900#0,0.0
7676.0,7677.0,,5.45,-151353900#1,0.0
7678.0,7679.0,9.27,141.0,-151353900#2,0.0
7680.0,7681.0,13.55,165.89,-151353905#0,0.0
7682.0,7683.0,5.37,74.03,-151353905#1,0.0
7688.0,7689.0,14.65,169.34,-151353910#1,0.0
7690.0,7691.0,14.5,169.93,-151353910#2,0.0
7692.0,7693.0,38.32,453.22,-151353910#3,0.0
7704.0,7705.0,26.97,183.16,-151353915,0.0
7790.0,7791.0,18.17,197.15,-151368601#1,0.0
7798.0,7799.0,12.2,129.14,-151369411#1,0.0
7976.0,7977.0,29.55,158.62,-151526149#3,0.0
8016.0,8017.0,10.14,114.83,-151617776#0,0.0
8022.0,8023.0,4.41,49.85,-151617776#5,0.0
8024.0,8025.0,16.22,181.31,-151617776#6,0.0
8026.0,8027.0,8.18,85.86,-151617776#7,0.0
8030.0,8031.0,12.07,155.21,-151618244#1,0.0
8032.0,8033.0,15.16,195.62,-151618244#10,0.0
8034.0,8035.0,3.99,56.32,-151618244#2,0.0
8036.0,8037.0,20.74,291.22,-151618244#3,0.0
8038.0,8039.0,10.61,85.32,-151618244#8,0.0
8040.0,8041.0,6.07,79.49,-151618244#9,0.0
8064.0,8065.0,10.44,86.86,-151619286#0,0.0
8066.0,8067.0,8.98,78.42,-151619286#1,0.0
8068.0,8069.0,27.05,203.36,-151619286#2,0.0
8186.0,8187.0,26.84,325.76,-151742405,0.0
8280.0,8281.0,34.7,377.94,-151742450#2,0.0
8372.0,8373.0,23.78,306.32,-151819889#0,0.0
8374.0,8375.0,7.22,96.74,-151819889#1,0.0
8376.0,8377.0,6.38,86.75,-151819889#2,0.0
8390.0,8391.0,3.86,52.36,-151822548,0.0
8398.0,8399.0,17.8,125.58,-151974158#1,0.0
8400.0,8401.0,9.66,69.1,-152046273,0.0
8494.0,8495.0,38.72,338.71,-15219326#4,0.0
8630.0,8631.0,25.5,288.96,-152258295#1,0.0
8658.0,8659.0,31.89,249.5,-152258306#0,0.0
8678.0,8679.0,52.75,640.2,-152258320,0.0
8778.0,8779.0,16.03,127.36,-152258365,0.0
8782.0,8783.0,9.98,76.37,-152258367#0,0.0
8850.0,8851.0,36.42,387.74,-152264795#1,0.0
8870.0,8871.0,8.69,55.69,-152343391#0,0.0
8876.0,8877.0,21.4,146.38,-152343393#1,0.0
8890.0,8891.0,6.47,38.64,-152354553#0,0.0
8914.0,8915.0,7.6,98.14,-152354562#0,0.0
8916.0,8917.0,11.47,152.79,-152354562#1,0.0
8976.0,8977.0,10.47,85.93,-152354575#0,0.0
8978.0,8979.0,16.97,140.13,-152354576,0.0
9054.0,9055.0,10.28,84.52,-152354601#0,0.0
9072.0,9073.0,9.53,69.26,-152354606#1,0.0
9104.0,9105.0,50.78,413.52,-152354691#1,0.0
9220.0,9221.0,7.97,65.81,-152466398,0.0
9224.0,9225.0,93.9,648.02,-152466402,0.0
9226.0,9227.0,32.88,265.6,-152466403#2,0.0
9228.0,9229.0,20.58,269.04,-152466403#3,0.0
9234.0,9235.0,16.86,131.33,-152466411,0.0
9272.0,9273.0,14.17,132.55,-152466469#0,0.0
9274.0,9275.0,16.17,124.24,-152466470#0,0.0
9276.0,9277.0,5.62,42.59,-152466470#1,0.0
9370.0,9371.0,21.15,159.51,-152593432#0,0.0
9492.0,9493.0,9.36,69.85,-152645951,0.0
9642.0,9643.0,9.93,80.05,-153150698,0.0
9958.0,9959.0,12.86,100.9,-153617320#0,0.0
9960.0,9961.0,12.52,100.41,-153617320#1,0.0
9962.0,9963.0,12.52,100.24,-153617320#2,0.0
9964.0,9965.0,39.4,317.77,-153617320#3,0.0
9972.0,9973.0,60.8,552.29,-153617362,0.0
9984.0,9985.0,12.5,96.55,-153617368#5,0.0
10000.0,10001.0,15.35,122.27,-153617389#0,0.0
10024.0,10025.0,14.29,128.63,-153692996,0.0
10034.0,10035.0,12.44,179.73,-153698391,0.0
