from_node,to_node,edge_tt,distance,edge_var
2556.0,2557.0,0.39,3.76,0.0
2570.0,2571.0,21.23,127.82,0.0
2580.0,2581.0,16.57,129.68,0.0
2582.0,2583.0,12.39,103.54,0.0
2590.0,2591.0,1.98,14.13,0.0
2610.0,2611.0,25.95,207.25,0.0
2624.0,2625.0,71.03,516.59,0.0
2652.0,2653.0,146.27,2494.06,0.0
2766.0,2767.0,3.8,26.4,0.0
2796.0,2797.0,8.73,90.53,0.0
2810.0,2811.0,17.26,145.27,0.0
2818.0,2819.0,17.97,138.58,0.0
2822.0,2823.0,14.76,178.28,0.0
2824.0,2825.0,8.44,64.35,0.0
2826.0,2827.0,7.62,58.34,0.0
2828.0,2829.0,25.46,374.96,0.0
2846.0,2847.0,10.01,100.95,0.0
2888.0,2889.0,34.47,436.84,0.0
2892.0,2893.0,9.19,118.62,0.0
2894.0,2895.0,13.51,181.43,0.0
2896.0,2897.0,10.54,133.6,0.0
2898.0,2899.0,0.51,4.46,0.0
2912.0,2913.0,10.95,117.34,0.0
2914.0,2915.0,7.79,106.06,0.0
2916.0,2917.0,2.8,34.31,0.0
2924.0,2925.0,41.49,280.95,0.0
2954.0,2955.0,6.66,53.5,0.0
2956.0,2957.0,11.36,91.23,0.0
2962.0,2963.0,5.97,46.28,0.0
2966.0,2967.0,14.32,91.4,0.0
2968.0,2969.0,9.57,69.4,0.0
2970.0,2971.0,9.31,84.6,0.0
3010.0,3011.0,39.06,262.55,0.0
3014.0,3015.0,3.85,72.24,0.0
3042.0,3043.0,8.63,108.98,0.0
3048.0,3049.0,4.46,39.6,0.0
3072.0,3073.0,3.77,40.9,0.0
3074.0,3075.0,4.03,52.54,0.0
3076.0,3077.0,11.18,133.64,0.0
3084.0,3085.0,13.96,112.18,0.0
3092.0,3093.0,44.7,491.54,0.0
3094.0,3095.0,19.47,156.34,0.0
3100.0,3101.0,17.72,132.34,0.0
3102.0,3103.0,90.02,669.9,0.0
3104.0,3105.0,19.49,244.03,0.0
3106.0,3107.0,18.76,236.9,0.0
3112.0,3113.0,20.89,176.5,0.0
3126.0,3127.0,28.71,300.87,0.0
3128.0,3129.0,16.83,175.48,0.0
3138.0,3139.0,46.24,367.94,0.0
3148.0,3149.0,128.59,291.52,0.0
3152.0,3153.0,35.5,356.68,0.0
3154.0,3155.0,2.23,24.66,0.0
3156.0,3157.0,4.85,51.77,0.0
3158.0,3159.0,7.94,106.52,0.0
3160.0,3161.0,7.32,83.65,0.0
3162.0,3163.0,23.99,263.3,0.0
3164.0,3165.0,7.77,98.69,0.0
3166.0,3167.0,9.69,89.82,0.0
3178.0,3179.0,18.05,118.44,0.0
3186.0,3187.0,20.44,154.18,0.0
3188.0,3189.0,12.0,90.36,0.0
3212.0,3213.0,27.62,351.42,0.0
3278.0,3279.0,1.99,25.4,0.0
3280.0,3281.0,1.02,13.54,0.0
3282.0,3283.0,10.44,136.29,0.0
3286.0,3287.0,3.41,45.55,0.0
3364.0,3365.0,25.54,210.31,0.0
3396.0,3397.0,12.08,132.15,0.0
3408.0,3409.0,5.41,70.67,0.0
3410.0,3411.0,7.68,99.6,0.0
3412.0,3413.0,39.11,495.36,0.0
3418.0,3419.0,5.39,68.49,0.0
3420.0,3421.0,10.32,122.75,0.0
3422.0,3423.0,10.95,151.75,0.0
3424.0,3425.0,2.84,36.32,0.0
3426.0,3427.0,19.94,205.49,0.0
3428.0,3429.0,4.8,49.54,0.0
3430.0,3431.0,0.54,4.22,0.0
3440.0,3441.0,2.47,21.92,0.0
3454.0,3455.0,26.71,199.1,0.0
3460.0,3461.0,85.55,1165.43,0.0
3462.0,3463.0,88.17,1162.2,0.0
3476.0,3477.0,37.11,85.29,0.0
3478.0,3479.0,42.59,94.11,0.0
3484.0,3485.0,22.67,165.32,0.0
3486.0,3487.0,31.7,215.19,0.0
3490.0,3491.0,44.08,297.05,0.0
3494.0,3495.0,0.47,3.4,0.0
3528.0,3529.0,24.41,144.49,0.0
3532.0,3533.0,23.8,196.52,0.0
3536.0,3537.0,23.39,317.94,0.0
3538.0,3539.0,6.83,65.06,0.0
3544.0,3545.0,6.39,45.04,0.0
3546.0,3547.0,2.8,26.39,0.0
3556.0,3557.0,23.39,247.34,0.0
3564.0,3565.0,40.73,301.93,0.0
3572.0,3573.0,17.37,113.56,0.0
3580.0,3581.0,47.91,321.48,0.0
3586.0,3587.0,4.84,60.24,0.0
3612.0,3613.0,9.74,63.1,0.0
3622.0,3623.0,1.2,13.44,0.0
3638.0,3639.0,77.2,480.39,0.0
3640.0,3641.0,6.34,56.25,0.0
3644.0,3645.0,29.64,203.83,0.0
3646.0,3647.0,1.01,6.18,0.0
3648.0,3649.0,34.22,164.78,0.0
3656.0,3657.0,8.85,71.47,0.0
3678.0,3679.0,14.29,88.97,0.0
3704.0,3705.0,3.55,25.05,0.0
3712.0,3713.0,15.38,161.26,0.0
3714.0,3715.0,7.22,76.52,0.0
3720.0,3721.0,3.77,52.67,0.0
3722.0,3723.0,10.37,143.44,0.0
3724.0,3725.0,10.14,125.7,0.0
3726.0,3727.0,11.33,149.22,0.0
3728.0,3729.0,27.79,217.17,0.0
3740.0,3741.0,28.47,110.58,0.0
3766.0,3767.0,0.12,0.2,0.0
3768.0,3769.0,17.47,167.63,0.0
3790.0,3791.0,2.15,30.99,0.0
3792.0,3793.0,7.37,108.56,0.0
3814.0,3815.0,28.41,244.89,0.0
3816.0,3817.0,17.88,239.62,0.0
3822.0,3823.0,15.12,112.44,0.0
3824.0,3825.0,16.68,125.43,0.0
3832.0,3833.0,28.86,229.98,0.0
3834.0,3835.0,13.59,99.56,0.0
3846.0,3847.0,10.19,74.89,0.0
3848.0,3849.0,31.39,223.46,0.0
3850.0,3851.0,25.9,182.21,0.0
3852.0,3853.0,45.77,387.95,0.0
3854.0,3855.0,18.57,132.82,0.0
3880.0,3881.0,7.78,57.35,0.0
3886.0,3887.0,1.93,20.28,0.0
3926.0,3927.0,10.21,73.97,0.0
3928.0,3929.0,9.97,71.65,0.0
3930.0,3931.0,10.93,80.28,0.0
3932.0,3933.0,9.62,71.37,0.0
3934.0,3935.0,12.88,98.29,0.0
3936.0,3937.0,18.42,135.95,0.0
3938.0,3939.0,13.41,87.08,0.0
3948.0,3949.0,10.28,99.64,0.0
3950.0,3951.0,14.78,169.31,0.0
3968.0,3969.0,108.27,872.67,0.0
4006.0,4007.0,5.8,86.97,0.0
4008.0,4009.0,8.55,88.36,0.0
4030.0,4031.0,0.61,2.94,0.0
4032.0,4033.0,96.83,839.34,0.0
4040.0,4041.0,48.79,390.18,0.0
4042.0,4043.0,32.18,255.6,0.0
4096.0,4097.0,5.95,30.44,0.0
4108.0,4109.0,18.48,114.46,0.0
4114.0,4115.0,18.77,138.13,0.0
4116.0,4117.0,12.61,93.27,0.0
4130.0,4131.0,32.99,212.93,0.0
4204.0,4205.0,9.67,115.26,0.0
4286.0,4287.0,11.45,164.45,0.0
4288.0,4289.0,5.21,74.89,0.0
4314.0,4315.0,72.94,843.38,0.0
4322.0,4323.0,27.08,216.0,0.0
4354.0,4355.0,28.04,184.56,0.0
4366.0,4367.0,4.24,36.18,0.0
4370.0,4371.0,31.95,262.93,0.0
4372.0,4373.0,10.65,77.88,0.0
4494.0,4495.0,28.5,196.5,0.0
4544.0,4545.0,46.15,429.83,0.0
4546.0,4547.0,12.07,112.34,0.0
4554.0,4555.0,11.54,84.31,0.0
4612.0,4613.0,24.77,310.19,0.0
4632.0,4633.0,7.36,58.68,0.0
4634.0,4635.0,6.44,8.94,0.0
4636.0,4637.0,6.24,68.9,0.0
4640.0,4641.0,9.9,87.8,0.0
4650.0,4651.0,28.77,175.47,0.0
4656.0,4657.0,6.24,98.17,0.0
4658.0,4659.0,32.21,493.64,0.0
4710.0,4711.0,10.01,77.62,0.0
4714.0,4715.0,61.87,459.77,0.0
4720.0,4721.0,17.52,136.47,0.0
4724.0,4725.0,12.72,105.13,0.0
4726.0,4727.0,17.16,134.61,0.0
4728.0,4729.0,35.4,271.86,0.0
4740.0,4741.0,17.52,150.62,0.0
4744.0,4745.0,63.36,905.48,0.0
4792.0,4793.0,19.91,137.45,0.0
4802.0,4803.0,40.64,551.89,0.0
4804.0,4805.0,43.32,330.5,0.0
4806.0,4807.0,52.06,403.97,0.0
4826.0,4827.0,2.89,28.67,0.0
4860.0,4861.0,14.98,120.18,0.0
4864.0,4865.0,9.86,68.41,0.0
4872.0,4873.0,30.33,220.39,0.0
4874.0,4875.0,7.42,60.43,0.0
4878.0,4879.0,12.89,104.8,0.0
4880.0,4881.0,6.0,51.07,0.0
4892.0,4893.0,61.41,468.5,0.0
4902.0,4903.0,29.23,216.51,0.0
4928.0,4929.0,10.15,50.77,0.0
4938.0,4939.0,33.36,274.49,0.0
4940.0,4941.0,32.74,271.21,0.0
4942.0,4943.0,35.0,260.2,0.0
4966.0,4967.0,2.44,32.26,0.0
5024.0,5025.0,5.16,13.0,0.0
5026.0,5027.0,8.66,113.51,0.0
5028.0,5029.0,9.99,134.01,0.0
5048.0,5049.0,12.91,81.07,0.0
5104.0,5105.0,11.09,139.53,0.0
5106.0,5107.0,11.51,158.57,0.0
5108.0,5109.0,14.86,203.54,0.0
5110.0,5111.0,1.9,26.2,0.0
5112.0,5113.0,11.69,161.76,0.0
5114.0,5115.0,6.6,89.58,0.0
5170.0,5171.0,13.05,96.57,0.0
5186.0,5187.0,42.4,327.88,0.0
5188.0,5189.0,24.3,170.29,0.0
5214.0,5215.0,15.34,113.96,0.0
5220.0,5221.0,14.79,200.76,0.0
5222.0,5223.0,12.24,167.25,0.0
5224.0,5225.0,17.94,243.98,0.0
5226.0,5227.0,22.91,285.32,0.0
5260.0,5261.0,38.68,308.13,0.0
5330.0,5331.0,33.08,270.02,0.0
5332.0,5333.0,18.66,154.97,0.0
5362.0,5363.0,8.45,50.12,0.0
5364.0,5365.0,3.63,35.74,0.0
5366.0,5367.0,9.12,83.7,0.0
5368.0,5369.0,10.22,47.69,0.0
5370.0,5371.0,10.27,95.09,0.0
5372.0,5373.0,10.0,97.24,0.0
5470.0,5471.0,5.62,54.23,0.0
5472.0,5473.0,17.18,139.83,0.0
5474.0,5475.0,19.82,178.35,0.0
5476.0,5477.0,10.93,64.94,0.0
5496.0,5497.0,1.75,14.55,0.0
5498.0,5499.0,24.07,194.63,0.0
5512.0,5513.0,13.14,86.25,0.0
5526.0,5527.0,14.54,182.58,0.0
5562.0,5563.0,5.43,69.01,0.0
5564.0,5565.0,8.14,88.65,0.0
5566.0,5567.0,16.73,119.68,0.0
5568.0,5569.0,1.84,20.58,0.0
5578.0,5579.0,8.66,75.8,0.0
5592.0,5593.0,5.24,46.81,0.0
5594.0,5595.0,10.63,120.28,0.0
5596.0,5597.0,2.34,32.36,0.0
5598.0,5599.0,7.1,95.01,0.0
5600.0,5601.0,7.06,95.83,0.0
5602.0,5603.0,5.24,66.32,0.0
5604.0,5605.0,83.2,1103.05,0.0
5606.0,5607.0,22.57,170.03,0.0
5608.0,5609.0,13.5,101.17,0.0
5622.0,5623.0,36.73,503.05,0.0
5624.0,5625.0,10.09,69.05,0.0
5626.0,5627.0,6.95,10.17,0.0
5698.0,5699.0,6.67,89.25,0.0
5700.0,5701.0,7.32,97.38,0.0
5702.0,5703.0,3.88,51.59,0.0
5706.0,5707.0,3.64,27.9,0.0
5708.0,5709.0,101.08,789.63,0.0
5714.0,5715.0,14.14,117.77,0.0
5716.0,5717.0,12.44,84.34,0.0
5718.0,5719.0,12.35,85.44,0.0
5720.0,5721.0,23.95,154.92,0.0
5724.0,5725.0,26.3,202.13,0.0
5746.0,5747.0,12.64,117.32,0.0
5748.0,5749.0,11.52,102.34,0.0
5752.0,5753.0,23.97,191.33,0.0
5758.0,5759.0,16.18,131.89,0.0
5762.0,5763.0,22.93,181.89,0.0
5764.0,5765.0,18.51,143.83,0.0
5772.0,5773.0,15.29,112.27,0.0
5778.0,5779.0,40.39,267.62,0.0
5780.0,5781.0,16.69,211.18,0.0
5782.0,5783.0,8.4,96.98,0.0
5784.0,5785.0,1.17,15.55,0.0
5788.0,5789.0,36.41,376.03,0.0
5804.0,5805.0,26.0,216.16,0.0
5934.0,5935.0,19.42,149.34,0.0
5944.0,5945.0,19.07,151.27,0.0
5946.0,5947.0,11.3,90.03,0.0
5948.0,5949.0,8.29,63.13,0.0
5996.0,5997.0,20.41,141.83,0.0
6004.0,6005.0,21.45,193.42,0.0
6006.0,6007.0,16.36,140.11,0.0
6008.0,6009.0,14.7,118.12,0.0
6022.0,6023.0,45.37,308.71,0.0
6056.0,6057.0,13.25,82.52,0.0
6060.0,6061.0,11.61,82.01,0.0
6086.0,6087.0,41.4,333.58,0.0
6112.0,6113.0,43.51,273.08,0.0
6138.0,6139.0,21.97,177.81,0.0
6140.0,6141.0,4.47,41.39,0.0
6150.0,6151.0,9.8,80.34,0.0
6152.0,6153.0,11.59,87.15,0.0
6178.0,6179.0,7.86,73.98,0.0
6180.0,6181.0,31.63,413.87,0.0
6182.0,6183.0,0.4,5.3,0.0
6208.0,6209.0,46.75,355.71,0.0
6266.0,6267.0,5.39,40.49,0.0
6290.0,6291.0,32.02,267.28,0.0
6292.0,6293.0,41.38,365.62,0.0
6302.0,6303.0,129.77,843.74,0.0
