"simulation_index","MOD_demand_subset","fleet_size","network_name","rq_file","demand_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","op_init_veh_distribution","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_ref","reliable_tt_det","f_det","reliable_tt_prob","k_quantile","sim_declined_rq","rtt_corr_add","op_max_wait_time","routing_behavior_scenario","op_const_boarding_time","routing_behavior_scenario2","Simulated?"
"33","0.05","100","sumo_example_p_99_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"34","0.05","100","sumo_example_cf_1.1_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"35","0.05","100","sumo_example_cf_1.2_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"36","0.05","100","sumo_example_cf_1.3_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"37","0.05","100","sumo_example_cf_1.4_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"38","0.05","100","sumo_example_cf_1.8_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"39","0.05","100","sumo_example_cf_2.0_s_0-4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"40","0.05","100","sumo_example_static_cf_1.1","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"41","0.05","100","sumo_example_static_cf_1.2","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"42","0.05","100","sumo_example_static_cf_1.3","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"43","0.05","100","sumo_example_static_cf_1.4","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"44","0.05","100","sumo_example_static_cf_1.5","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"45","0.05","100","sumo_example_static_cf_1.8","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"46","0.05","100","sumo_example_static_cf_2.0","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_hailing_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
"47","0.05","100","sumo_example","sumo_example_s_00_0.05.csv","sumo_example_s_00_0.05","FP_pooling_vehtype","total_system_time","1800","5400","0","0","7200","PoolingIRSOnly","","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","86400",,,"0","","0","","0","","ignore","0","300","","30","","1"
