node_index,source_node_id,pos_x,pos_y,is_stop_only
196,86798752,29960.08,17504.01,False
197,86798625,29958.47,17416.76,False
198,3237188620,29911.59,17504.53,False
199,86798752,29960.08,17504.01,False
200,55984015,29857.69,17418.26,False
201,3237188620,29911.59,17504.53,False
202,49528831,30545.15,17352.8,False
203,50161051,30548.46,17439.68,False
204,2140194961,30547.25,17334.48,False
205,49528831,30545.15,17352.8,False
206,86801574,29815.15,17695.14,False
207,86801417,29666.87,17484.92,False
208,50161695,30589.87,17434.72,False
209,50161931,30648.92,17855.43,False
210,86950004,29138.33,18278.82,False
211,86948749,29347.29,18302.18,False
212,86952005,29020.14,18063.32,False
213,86951534,29202.17,18052.64,False
214,86952006,28966.0,18093.33,False
215,86952005,29020.14,18063.32,False
216,86952005,29020.14,18063.32,False
217,1895428274,28949.14,17932.62,False
218,86950004,29138.33,18278.82,False
219,86952005,29020.14,18063.32,False
220,cluster_86953349_86953350,29480.56,18423.53,False
221,86953348,29499.54,18458.4,False
222,27556451,18044.69,7235.18,False
223,1190374193,18040.72,7265.9,False
224,27556449,18057.22,7110.88,False
225,27556451,18044.69,7235.18,False
226,6042744977,18080.67,6868.35,False
227,27556449,18057.22,7110.88,False
228,260050551,14055.58,5789.38,False
229,cluster_149129359_260035622,14122.42,5901.48,False
230,260035202,14069.99,5741.92,False
231,260050551,14055.58,5789.38,False
232,cluster_26729602_7861935062,13668.51,5675.74,False
233,59704011,13639.66,5802.34,False
234,26729604,13791.69,5706.32,False
235,cluster_26729602_7861935062,13668.51,5675.74,False
236,6061477314,14333.12,5626.23,False
237,245921950,14503.15,5810.33,False
238,150903940,14819.62,6582.71,False
239,150903957,14976.24,6645.18,False
240,1614400258,14633.69,6509.79,False
241,150903940,14819.62,6582.71,False
242,150904023,14384.31,6411.13,False
243,1614400258,14633.69,6509.79,False
244,7979680397,14766.41,6715.05,False
245,31174083,14742.81,6773.75,False
246,150903940,14819.62,6582.71,False
247,7979680397,14766.41,6715.05,False
248,150903941,14876.27,6454.93,False
249,150903940,14819.62,6582.71,False
250,1614400258,14633.69,6509.79,False
251,cluster_260611071_338884561_338884563,14683.59,6379.33,False
252,7979680399,14580.02,6643.51,False
253,1614400258,14633.69,6509.79,False
254,245921949,14557.27,6700.19,False
255,7979680399,14580.02,6643.51,False
256,cluster_2060277800_8022409908,14482.56,6907.18,False
257,245921949,14557.27,6700.19,False
258,150903874,14388.54,7120.31,False
259,cluster_2060277800_8022409908,14482.56,6907.18,False
