from_node,to_node,edge_tt,distance,source_edge_id,edge_var
166.0,167.0,10.69,79.32,-10275794,0.0
168.0,169.0,20.11,216.12,-102945288#2,0.0
170.0,171.0,19.87,257.92,-102945288#3,0.0
176.0,177.0,5.64,61.87,-102984483,0.0
184.0,185.0,15.91,132.2,-103012044#0,0.0
186.0,187.0,11.87,96.13,-103012044#1,0.0
188.0,189.0,32.63,261.11,-103012045,0.0
196.0,197.0,9.46,72.81,-10303731,0.0
202.0,203.0,9.08,72.46,-10303802#0,0.0
204.0,205.0,5.05,12.23,-10303802#1,0.0
206.0,207.0,33.37,242.5,-10303825,0.0
208.0,209.0,52.97,414.28,-10307191,0.0
230.0,231.0,6.87,43.03,-103136604#2,0.0
238.0,239.0,18.81,150.98,-103141581#0,0.0
240.0,241.0,23.56,185.29,-103141581#1,0.0
242.0,243.0,31.87,253.77,-103141581#2,0.0
246.0,247.0,16.34,128.27,-103141583#1,0.0
248.0,249.0,13.86,122.74,-103141583#2,0.0
250.0,251.0,16.93,124.7,-103141585#0,0.0
252.0,253.0,17.02,129.62,-103141585#1,0.0
254.0,255.0,6.04,46.71,-103141585#2,0.0
256.0,257.0,27.51,205.56,-103141585#3,0.0
260.0,261.0,18.08,161.16,-103141587#0,0.0
262.0,263.0,34.36,254.73,-103141587#1,0.0
266.0,267.0,20.32,154.27,-103141587#3,0.0
276.0,277.0,34.92,264.42,-103258836#1,0.0
278.0,279.0,23.63,162.11,-103293007#0,0.0
280.0,281.0,15.44,84.77,-103293007#1,0.0
284.0,285.0,18.31,142.03,-103295134#1,0.0
288.0,289.0,14.25,91.76,-103405406#0,0.0
290.0,291.0,9.65,61.6,-103405406#1,0.0
292.0,293.0,11.16,65.54,-103405406#2,0.0
294.0,295.0,13.67,99.03,-103405406#3,0.0
296.0,297.0,36.53,229.01,-103405409#0,0.0
298.0,299.0,37.71,257.97,-103405409#1,0.0
304.0,305.0,31.77,241.74,-103405409#4,0.0
306.0,307.0,36.61,303.18,-103405410,0.0
308.0,309.0,33.72,229.37,-103405413#0,0.0
314.0,315.0,38.23,304.68,-103405415#0,0.0
316.0,317.0,9.64,75.29,-103405415#1,0.0
318.0,319.0,11.95,94.0,-103405415#2,0.0
334.0,335.0,10.67,91.8,-103405422#3,0.0
336.0,337.0,20.46,112.67,-103405422#4,0.0
338.0,339.0,39.47,301.51,-103406017#0,0.0
342.0,343.0,16.21,113.59,-103406018#0,0.0
344.0,345.0,12.94,90.3,-103406018#1,0.0
346.0,347.0,10.99,84.0,-103406018#2,0.0
354.0,355.0,47.81,367.31,-103453514#0,0.0
356.0,357.0,5.05,39.82,-103453514#1,0.0
358.0,359.0,8.05,61.06,-103453514#2,0.0
360.0,361.0,4.86,38.3,-103453514#3,0.0
362.0,363.0,8.35,60.7,-103453514#4,0.0
364.0,365.0,9.62,70.23,-103453514#5,0.0
366.0,367.0,34.63,283.62,-103453524,0.0
382.0,383.0,12.86,116.21,-103499527#3,0.0
402.0,403.0,30.69,232.4,-103502697#0,0.0
420.0,421.0,6.66,56.11,-10360286#0,0.0
422.0,423.0,29.93,202.9,-103625182,0.0
450.0,451.0,13.72,95.28,-10367687#0,0.0
452.0,453.0,17.28,113.78,-10367687#1,0.0
454.0,455.0,5.0,36.13,-10367687#2,0.0
456.0,457.0,16.0,104.69,-10367687#3,0.0
466.0,467.0,22.85,157.21,-10367747#2,0.0
470.0,471.0,14.17,79.58,-10367815#0,0.0
512.0,513.0,12.45,101.38,-10368281#3,0.0
514.0,515.0,11.0,65.02,-10368281#4,0.0
526.0,527.0,7.79,46.8,-10368468#2,0.0
544.0,545.0,29.13,195.73,-10368546#3,0.0
546.0,547.0,7.79,62.69,-10368546#4,0.0
548.0,549.0,20.58,181.3,-10368546#5,0.0
550.0,551.0,14.82,114.48,-10368582,0.0
552.0,553.0,4.21,33.57,-10368716,0.0
556.0,557.0,29.2,202.14,-10368919#0,0.0
558.0,559.0,22.44,140.74,-10368919#1,0.0
566.0,567.0,28.06,207.02,-10369816,0.0
570.0,571.0,3.52,5.93,-1037070922#0,0.0
580.0,581.0,13.13,111.64,-103766109,0.0
586.0,587.0,15.94,96.52,-103844041#2,0.0
592.0,593.0,19.71,120.71,-103844054,0.0
602.0,603.0,79.05,617.94,-10422407#0,0.0
636.0,637.0,3.69,10.98,-1043339111#0,0.0
650.0,651.0,14.06,98.0,-104652096#2,0.0
682.0,683.0,9.25,118.63,-105352753,0.0
686.0,687.0,11.6,136.65,-105469688#0,0.0
688.0,689.0,0.52,3.83,-105518276,0.0
692.0,693.0,6.86,52.41,-10559163#1,0.0
694.0,695.0,6.76,52.57,-10559163#2,0.0
696.0,697.0,5.6,40.16,-10559163#3,0.0
698.0,699.0,7.38,61.2,-10559163#4,0.0
700.0,701.0,13.71,104.67,-10559163#5,0.0
704.0,705.0,34.88,278.66,-10559163#7,0.0
708.0,709.0,8.88,70.85,-105679493#0,0.0
710.0,711.0,7.34,101.21,-10575630#1,0.0
718.0,719.0,19.62,172.58,-10587009#0,0.0
722.0,723.0,168.54,2683.72,-10587012,0.0
724.0,725.0,9.61,114.51,-10587013,0.0
726.0,727.0,7.56,81.14,-10587015#0,0.0
728.0,729.0,3.77,20.35,-10587015#1,0.0
730.0,731.0,29.57,236.12,-10595852,0.0
732.0,733.0,14.89,8.09,-10597569#1,0.0
734.0,735.0,12.99,127.56,-10598760#0,0.0
736.0,737.0,11.54,81.86,-106059890#0,0.0
738.0,739.0,11.45,79.23,-106059890#1,0.0
742.0,743.0,16.69,146.96,-10612724,0.0
744.0,745.0,75.52,537.1,-10616060,0.0
746.0,747.0,32.12,224.77,-10616488,0.0
754.0,755.0,28.18,196.97,-10620100,0.0
758.0,759.0,16.79,97.96,-10620102#1,0.0
762.0,763.0,35.58,217.88,-10620102#3,0.0
766.0,767.0,10.45,87.05,-106248900#1,0.0
774.0,775.0,9.45,71.32,-106248928,0.0
778.0,779.0,5.21,45.5,-106248943#0,0.0
780.0,781.0,6.26,50.81,-106248943#1,0.0
782.0,783.0,3.78,30.88,-106248943#2,0.0
784.0,785.0,12.93,114.45,-106248943#3,0.0
786.0,787.0,12.3,102.08,-106248943#4,0.0
788.0,789.0,2.61,20.22,-106248943#5,0.0
790.0,791.0,8.2,69.06,-106248943#6,0.0
792.0,793.0,10.12,35.39,-106277650#2,0.0
794.0,795.0,13.09,164.22,-106277831#0,0.0
798.0,799.0,14.46,106.03,-10639012#0,0.0
800.0,801.0,2.6,17.92,-10639012#1,0.0
802.0,803.0,9.98,74.13,-10639012#2,0.0
804.0,805.0,8.58,61.52,-10639012#3,0.0
806.0,807.0,23.39,151.42,-10639012#4,0.0
810.0,811.0,3.51,27.59,-106471823,0.0
816.0,817.0,,6.9,-106597745,0.0
822.0,823.0,47.59,602.74,-10671504,0.0
824.0,825.0,14.31,104.54,-106796067,0.0
828.0,829.0,28.22,146.93,-106820463,0.0
830.0,831.0,60.11,719.18,-106838214,0.0
834.0,835.0,12.81,99.9,-10687028,0.0
848.0,849.0,8.39,44.76,-10699605,0.0
886.0,887.0,3.27,40.67,-10741641#0,0.0
890.0,891.0,16.23,176.23,-10741799,0.0
894.0,895.0,25.5,194.13,-10742228#1,0.0
906.0,907.0,17.34,127.99,-10742555,0.0
916.0,917.0,10.66,65.51,-10749447,0.0
922.0,923.0,49.55,407.5,-10750000,0.0
932.0,933.0,11.11,94.93,-107541820#0,0.0
934.0,935.0,19.41,171.6,-107541820#1,0.0
936.0,937.0,8.75,67.72,-107541821#0,0.0
938.0,939.0,9.12,68.48,-107541821#1,0.0
940.0,941.0,8.5,67.63,-10755765#2,0.0
942.0,943.0,16.17,199.81,-10755765#3,0.0
960.0,961.0,43.54,337.33,-10774519,0.0
962.0,963.0,7.41,60.43,-10774600,0.0
964.0,965.0,9.36,47.71,-10774679#0,0.0
966.0,967.0,8.36,50.65,-10774679#1,0.0
972.0,973.0,13.57,95.16,-107747049#1,0.0
976.0,977.0,11.22,94.68,-107747049#3,0.0
980.0,981.0,6.19,48.8,-10774833#0,0.0
982.0,983.0,21.25,134.88,-10774833#1,0.0
984.0,985.0,53.6,360.42,-10774833#2,0.0
986.0,987.0,6.61,50.77,-10774938,0.0
988.0,989.0,3.92,53.37,-1077501501,0.0
990.0,991.0,14.23,195.47,-1077501502,0.0
992.0,993.0,0.67,9.25,-1077505709,0.0
994.0,995.0,2.9,40.12,-1077505710,0.0
996.0,997.0,5.17,71.48,-1077507347,0.0
998.0,999.0,5.91,81.27,-1077507348,0.0
1000.0,1001.0,3.49,48.12,-1077510440,0.0
1002.0,1003.0,19.19,263.26,-1077510441,0.0
1008.0,1009.0,3.23,24.7,-10775114#0,0.0
1010.0,1011.0,18.53,278.41,-10775114#1,0.0
1012.0,1013.0,10.66,160.05,-10775114#2,0.0
1014.0,1015.0,13.62,204.01,-10775114#3,0.0
1016.0,1017.0,23.14,332.63,-10775114#4,0.0
1018.0,1019.0,8.69,119.34,-1077511427,0.0
1020.0,1021.0,3.07,42.22,-1077511428,0.0
1022.0,1023.0,4.0,54.31,-1077511939,0.0
1024.0,1025.0,3.34,45.3,-1077511940,0.0
1034.0,1035.0,7.35,91.71,-10776187#6,0.0
1036.0,1037.0,10.03,140.13,-10776187#7,0.0
1038.0,1039.0,8.03,112.69,-10776187#8,0.0
1040.0,1041.0,13.18,176.77,-10776194,0.0
1044.0,1045.0,0.69,4.05,-10776612#0,0.0
1050.0,1051.0,10.3,48.66,-10776612#3,0.0
1058.0,1059.0,78.68,649.11,-10776740#1,0.0
1060.0,1061.0,11.83,81.72,-10778139#0,0.0
1064.0,1065.0,28.96,196.94,-10778576,0.0
1070.0,1071.0,19.08,147.05,-10780525#0,0.0
1074.0,1075.0,17.53,152.38,-10780543#0,0.0
1076.0,1077.0,15.96,132.84,-10780543#1,0.0
1082.0,1083.0,4.91,35.31,-10781132#0,0.0
1084.0,1085.0,11.34,92.32,-10781132#1,0.0
1086.0,1087.0,10.55,88.32,-10781132#2,0.0
1090.0,1091.0,3.97,29.44,-10781168#0,0.0
1092.0,1093.0,12.54,91.11,-108031933#0,0.0
1094.0,1095.0,25.83,197.13,-108037688,0.0
1096.0,1097.0,30.39,385.8,-108037692,0.0
1098.0,1099.0,30.83,373.54,-108457516,0.0
1100.0,1101.0,5.15,57.29,-1085429303,0.0
1102.0,1103.0,5.87,72.89,-10855364#0,0.0
1104.0,1105.0,8.76,94.6,-10856598,0.0
1120.0,1121.0,27.07,226.37,-10864676#0,0.0
1122.0,1123.0,21.61,290.7,-108740352,0.0
1130.0,1131.0,7.19,82.33,-108740380,0.0
1132.0,1133.0,5.81,81.52,-108776738,0.0
1140.0,1141.0,2.35,33.75,-108886196#1,0.0
1150.0,1151.0,36.67,280.29,-10942985,0.0
1152.0,1153.0,19.42,165.91,-10943732#0,0.0
1154.0,1155.0,15.82,99.05,-10943732#1,0.0
1156.0,1157.0,7.63,65.03,-10943907#0,0.0
1158.0,1159.0,1.09,7.87,-10943907#1,0.0
1160.0,1161.0,12.19,106.18,-10943907#2,0.0
1162.0,1163.0,,1.48,-10943907#3,0.0
1174.0,1175.0,13.55,114.8,-10946365,0.0
1178.0,1179.0,8.36,64.52,-10948718#0,0.0
1190.0,1191.0,23.73,182.18,-10950296#0,0.0
1192.0,1193.0,20.82,163.47,-10950296#1,0.0
1194.0,1195.0,2.23,13.75,-10950296#2,0.0
1200.0,1201.0,3.95,41.08,-10952112,0.0
1202.0,1203.0,12.25,91.31,-10952802#1,0.0
1204.0,1205.0,9.13,9.88,-10953274#1,0.0
1206.0,1207.0,1.51,18.41,-10953274#2,0.0
1224.0,1225.0,27.42,179.05,-109541372,0.0
1228.0,1229.0,3.46,27.01,-109596169,0.0
1230.0,1231.0,19.13,159.93,-109612314#0,0.0
1232.0,1233.0,5.08,41.1,-109612314#1,0.0
1236.0,1237.0,2.36,25.06,-109648595,0.0
1240.0,1241.0,4.44,23.8,-109694466#1,0.0
1244.0,1245.0,8.88,66.29,-109767908#1,0.0
1246.0,1247.0,19.82,153.9,-109767908#2,0.0
1248.0,1249.0,13.0,72.04,-109819340,0.0
1250.0,1251.0,43.26,529.32,-10986622,0.0
1254.0,1255.0,17.01,208.3,-10989838#0,0.0
1260.0,1261.0,25.88,191.23,-10991305,0.0
1262.0,1263.0,8.82,98.24,-10993994#0,0.0
1264.0,1265.0,22.9,278.57,-10993994#1,0.0
1274.0,1275.0,3.98,30.22,-10994621,0.0
1280.0,1281.0,7.66,56.86,-10994883#0,0.0
1282.0,1283.0,17.08,108.83,-10994916#0,0.0
1288.0,1289.0,15.24,85.43,-10995304#1,0.0
1298.0,1299.0,7.52,52.2,-10995390#0,0.0
1306.0,1307.0,14.92,113.52,-10995524#0,0.0
1308.0,1309.0,12.48,90.46,-10995524#1,0.0
1316.0,1317.0,2.24,16.34,-10995646#0,0.0
1318.0,1319.0,6.28,49.7,-10995646#1,0.0
1320.0,1321.0,10.79,79.52,-10995646#2,0.0
1324.0,1325.0,12.5,92.5,-10995848#0,0.0
1326.0,1327.0,12.22,91.0,-10995848#1,0.0
1328.0,1329.0,18.95,242.28,-10998543#0,0.0
1330.0,1331.0,0.44,3.61,-10998543#1,0.0
1332.0,1333.0,1.58,12.88,-10999475,0.0
1338.0,1339.0,16.56,204.51,-10999957,0.0
1340.0,1341.0,31.31,243.93,-11000137#0,0.0
1342.0,1343.0,18.13,118.23,-11000137#1,0.0
1346.0,1347.0,25.17,282.93,-110008909#2,0.0
1352.0,1353.0,5.05,40.69,-11007548,0.0
1362.0,1363.0,42.99,355.73,-11007849#0,0.0
1364.0,1365.0,6.69,54.37,-11007849#1,0.0
1368.0,1369.0,5.62,42.8,-11008123#0,0.0
1370.0,1371.0,9.87,76.01,-11008123#1,0.0
1372.0,1373.0,46.15,355.57,-11008123#2,0.0
1374.0,1375.0,16.57,121.67,-11008206#0,0.0
1376.0,1377.0,38.24,260.71,-11008206#1,0.0
1378.0,1379.0,3.76,28.22,-11008373#0,0.0
1380.0,1381.0,0.03,0.2,-11008373#1,0.0
1382.0,1383.0,17.65,132.69,-11008373#3,0.0
1384.0,1385.0,5.58,43.11,-11008433#0,0.0
1386.0,1387.0,5.01,37.31,-11008433#1,0.0
1388.0,1389.0,2.88,22.36,-11008433#2,0.0
1390.0,1391.0,38.57,327.06,-11008433#3,0.0
1394.0,1395.0,2.06,12.07,-11008433#5,0.0
1396.0,1397.0,,0.2,-11008433#6,0.0
1400.0,1401.0,90.8,692.67,-11008961#0,0.0
1402.0,1403.0,11.49,127.32,-11009143,0.0
1410.0,1411.0,14.29,113.51,-11009244#0,0.0
1418.0,1419.0,23.45,162.22,-11009307#2,0.0
1422.0,1423.0,60.44,325.55,-11009381#0,0.0
1426.0,1427.0,12.17,102.09,-11009398#0,0.0
1428.0,1429.0,15.61,129.03,-11009398#1,0.0
1430.0,1431.0,20.83,200.53,-11009402,0.0
1432.0,1433.0,16.36,137.75,-11009464#0,0.0
1434.0,1435.0,14.17,119.75,-11009464#1,0.0
1436.0,1437.0,15.68,131.81,-11009464#2,0.0
1438.0,1439.0,15.87,133.7,-11009464#3,0.0
1440.0,1441.0,16.12,134.43,-11009464#4,0.0
1442.0,1443.0,20.24,143.52,-11009464#5,0.0
1460.0,1461.0,0.62,5.2,-1101204310,0.0
1462.0,1463.0,0.49,4.67,-1101204311,0.0
1468.0,1469.0,9.29,128.54,-11013251#2,0.0
1470.0,1471.0,12.96,96.89,-11013506#0,0.0
1472.0,1473.0,14.08,104.77,-11013506#1,0.0
1490.0,1491.0,8.31,68.57,-11013652#4,0.0
1494.0,1495.0,11.54,84.88,-11013806#0,0.0
1546.0,1547.0,16.9,132.37,-11014507#0,0.0
1548.0,1549.0,38.64,310.75,-11014507#1,0.0
1588.0,1589.0,0.48,2.21,-110149630,0.0
1590.0,1591.0,20.85,151.37,-110149634#2,0.0
1604.0,1605.0,5.61,45.31,-11015155#0,0.0
1606.0,1607.0,19.79,162.22,-11015155#1,0.0
1610.0,1611.0,12.99,112.02,-11015317#0,0.0
1612.0,1613.0,12.33,103.91,-11015317#1,0.0
1614.0,1615.0,11.7,101.76,-11015317#2,0.0
1616.0,1617.0,23.54,200.68,-11015317#3,0.0
1618.0,1619.0,13.0,108.49,-11015317#4,0.0
1620.0,1621.0,12.36,167.09,-11015366#0,0.0
1622.0,1623.0,9.34,121.54,-11015366#1,0.0
1624.0,1625.0,14.92,134.09,-11015656#0,0.0
1630.0,1631.0,15.46,128.03,-11022844#0,0.0
1632.0,1633.0,9.81,83.04,-11022844#1,0.0
1634.0,1635.0,13.95,107.0,-11022844#2,0.0
1636.0,1637.0,19.22,146.06,-11023906#0,0.0
1644.0,1645.0,17.78,148.5,-11023906#4,0.0
1646.0,1647.0,12.9,99.66,-11023906#5,0.0
1652.0,1653.0,21.72,188.17,-11024070,0.0
1654.0,1655.0,32.34,254.45,-11024224,0.0
1656.0,1657.0,7.03,53.19,-11024426#0,0.0
1658.0,1659.0,27.82,223.9,-11024456,0.0
1662.0,1663.0,7.54,30.7,-11024580#1,0.0
1672.0,1673.0,20.22,114.51,-11025291#0,0.0
1674.0,1675.0,8.76,59.45,-11025291#1,0.0
1682.0,1683.0,29.38,352.27,-11027581#0,0.0
1684.0,1685.0,26.59,307.1,-11027581#1,0.0
1690.0,1691.0,18.45,146.86,-11027915,0.0
1692.0,1693.0,10.55,83.19,-11027922,0.0
1706.0,1707.0,5.81,29.46,-110335776#0,0.0
1708.0,1709.0,30.0,239.77,-110450332,0.0
1710.0,1711.0,15.33,108.07,-110450333,0.0
1712.0,1713.0,5.14,35.19,-110450334#2,0.0
1714.0,1715.0,5.16,40.57,-110460842,0.0
1716.0,1717.0,3.51,26.09,-110460845#1,0.0
1718.0,1719.0,7.83,64.96,-110460846#0,0.0
1728.0,1729.0,7.68,67.83,-11055331,0.0
1730.0,1731.0,66.6,863.43,-110767228#0,0.0
1732.0,1733.0,2.6,32.39,-110767228#1,0.0
1734.0,1735.0,13.77,90.83,-110785555#2,0.0
1738.0,1739.0,15.72,217.83,-1108471989,0.0
1740.0,1741.0,7.9,101.75,-110863066#0,0.0
1742.0,1743.0,8.37,108.63,-110863066#1,0.0
1744.0,1745.0,15.5,206.35,-110863066#2,0.0
1746.0,1747.0,8.79,117.7,-110863066#3,0.0
1748.0,1749.0,1.23,16.92,-1108789447,0.0
1750.0,1751.0,8.7,120.78,-1108789448,0.0
1756.0,1757.0,12.55,91.49,-110898260#0,0.0
1758.0,1759.0,41.89,318.02,-11092480#0,0.0
1760.0,1761.0,20.76,168.35,-11092480#1,0.0
1762.0,1763.0,33.59,222.74,-11092902#0,0.0
1764.0,1765.0,24.22,149.56,-11092902#1,0.0
1770.0,1771.0,17.37,148.39,-11093005#1,0.0
1774.0,1775.0,5.01,36.86,-11093005#3,0.0
1778.0,1779.0,7.07,60.28,-11093005#5,0.0
1780.0,1781.0,8.1,71.94,-11093005#6,0.0
1782.0,1783.0,7.92,71.27,-11093005#7,0.0
1784.0,1785.0,8.18,73.48,-11093005#8,0.0
1788.0,1789.0,1.66,17.54,-11093162#1,0.0
1790.0,1791.0,1.43,13.4,-11093162#2,0.0
1796.0,1797.0,12.68,93.09,-11093284#2,0.0
1798.0,1799.0,16.68,111.16,-11093284#3,0.0
1800.0,1801.0,10.53,67.77,-11093284#4,0.0
1804.0,1805.0,5.87,46.81,-11093467#0,0.0
1806.0,1807.0,25.22,209.64,-11093467#1,0.0
1810.0,1811.0,24.73,202.45,-11093467#3,0.0
1814.0,1815.0,13.34,146.31,-1109968061,0.0
1816.0,1817.0,2.66,33.9,-1109968838,0.0
1818.0,1819.0,26.77,204.98,-11103963,0.0
1820.0,1821.0,1.43,19.46,-1110722284,0.0
1822.0,1823.0,22.11,114.08,-11114397#2,0.0
1824.0,1825.0,12.05,100.19,-11114397#3,0.0
1826.0,1827.0,14.74,100.85,-11114397#4,0.0
1832.0,1833.0,10.97,34.34,-111251382#2,0.0
1834.0,1835.0,14.98,154.92,-111265280#0,0.0
1838.0,1839.0,8.73,66.25,-111265282#1,0.0
1840.0,1841.0,16.46,121.04,-111265282#2,0.0
1850.0,1851.0,7.58,81.14,-111283471#0,0.0
1856.0,1857.0,20.52,275.44,-111283473#0,0.0
1858.0,1859.0,18.76,249.78,-111283473#1,0.0
1860.0,1861.0,57.5,789.17,-111283476,0.0
1862.0,1863.0,17.4,211.46,-111288183#0,0.0
1864.0,1865.0,20.19,251.72,-111288183#1,0.0
1866.0,1867.0,21.49,271.48,-111288183#2,0.0
1868.0,1869.0,1.7,21.53,-111288183#3,0.0
1876.0,1877.0,11.71,91.34,-11143242#0,0.0
1878.0,1879.0,23.08,180.34,-11143242#1,0.0
1880.0,1881.0,22.01,142.56,-11143242#2,0.0
1890.0,1891.0,16.5,116.36,-11143968#0,0.0
1892.0,1893.0,16.34,117.25,-11144082#0,0.0
1894.0,1895.0,16.92,141.14,-11144082#1,0.0
1896.0,1897.0,17.27,141.66,-11144082#2,0.0
1898.0,1899.0,16.08,133.97,-11144082#3,0.0
1900.0,1901.0,18.03,133.52,-11144082#4,0.0
1904.0,1905.0,36.41,261.11,-11144082#6,0.0
1928.0,1929.0,0.6,7.42,-1115709523,0.0
1930.0,1931.0,1.74,23.73,-1115709523.14,0.0
1932.0,1933.0,11.88,163.73,-1115710842,0.0
1934.0,1935.0,2.98,40.97,-1115711290,0.0
1936.0,1937.0,2.92,40.11,-1115711327,0.0
1938.0,1939.0,6.5,86.94,-1115712701,0.0
1940.0,1941.0,8.63,117.24,-1115713073,0.0
1942.0,1943.0,15.58,141.62,-111602265,0.0
1944.0,1945.0,19.1,263.45,-1116278984,0.0
1948.0,1949.0,3.62,40.79,-1117097498,0.0
1954.0,1955.0,18.68,156.15,-111833185,0.0
1970.0,1971.0,8.33,60.2,-111861869#6,0.0
1972.0,1973.0,398.27,901.13,-111861870#0,0.0
1976.0,1977.0,33.17,258.27,-112016238,0.0
1978.0,1979.0,10.8,89.49,-112041021#0,0.0
1980.0,1981.0,7.72,66.24,-112041021#2,0.0
1982.0,1983.0,10.87,112.33,-112089234#0,0.0
1984.0,1985.0,13.22,112.06,-112089234#1,0.0
1988.0,1989.0,3.92,24.57,-112128825#0,0.0
1994.0,1995.0,9.49,109.09,-112408881#0,0.0
1996.0,1997.0,5.58,72.02,-112408881#1,0.0
1998.0,1999.0,14.39,171.29,-112408881#2,0.0
2000.0,2001.0,6.02,64.46,-112408882#0,0.0
2002.0,2003.0,1.88,17.65,-112408882#1,0.0
2004.0,2005.0,6.33,84.12,-112408882#10,0.0
2006.0,2007.0,8.01,101.44,-112408882#11,0.0
2008.0,2009.0,12.63,141.72,-112408882#2,0.0
2010.0,2011.0,17.17,226.58,-112408882#4,0.0
2012.0,2013.0,16.2,200.71,-112408882#6,0.0
2014.0,2015.0,13.96,121.13,-112408882#8,0.0
2016.0,2017.0,11.44,149.44,-112408882#9,0.0
2022.0,2023.0,18.4,160.43,-112427848#2,0.0
2024.0,2025.0,10.08,90.83,-112441857#0,0.0
2026.0,2027.0,3.26,44.49,-112441857#2,0.0
2028.0,2029.0,8.74,72.27,-112442378#0,0.0
2030.0,2031.0,14.64,89.27,-112442378#5,0.0
2032.0,2033.0,11.07,87.92,-112442432,0.0
2036.0,2037.0,20.8,268.04,-1126798198,0.0
2044.0,2045.0,18.83,152.53,-11273371,0.0
2048.0,2049.0,5.55,61.21,-11273911#0,0.0
2050.0,2051.0,14.52,157.26,-11273911#2,0.0
2052.0,2053.0,22.59,270.49,-1127487457,0.0
2058.0,2059.0,0.88,11.78,-11279774#0,0.0
2068.0,2069.0,13.63,122.33,-11280056#2,0.0
2070.0,2071.0,21.04,168.09,-11280080#0,0.0
2072.0,2073.0,1.17,8.22,-11280080#1,0.0
2074.0,2075.0,15.42,118.9,-11280080#2,0.0
2084.0,2085.0,11.55,106.46,-112892175,0.0
2086.0,2087.0,6.4,81.49,-1132163645#0,0.0
2088.0,2089.0,6.24,76.43,-1132163645#1,0.0
2090.0,2091.0,8.11,71.55,-1132163645#7,0.0
2092.0,2093.0,19.03,248.88,-11322312,0.0
2096.0,2097.0,16.47,160.48,-11342758#2,0.0
2098.0,2099.0,11.05,97.04,-113511536,0.0
2100.0,2101.0,13.53,172.01,-113715803#0,0.0
2102.0,2103.0,11.16,151.13,-113715804#0,0.0
2104.0,2105.0,18.02,223.48,-113715804#1,0.0
2106.0,2107.0,6.61,90.77,-113715804#2,0.0
2108.0,2109.0,8.76,119.23,-113715804#3,0.0
2110.0,2111.0,7.21,89.04,-113715805#0,0.0
2112.0,2113.0,8.51,110.42,-113715805#1,0.0
2114.0,2115.0,11.78,147.77,-113715805#2,0.0
2116.0,2117.0,2.79,32.66,-113715806#0,0.0
2118.0,2119.0,6.42,85.99,-113715806#1,0.0
2120.0,2121.0,7.12,85.61,-113715806#2,0.0
2122.0,2123.0,17.43,223.9,-113715807,0.0
2124.0,2125.0,20.75,272.03,-113715809,0.0
2138.0,2139.0,41.17,538.89,-11389403,0.0
2140.0,2141.0,9.13,6.34,-11389571#2,0.0
2144.0,2145.0,11.49,76.52,-11391856#0,0.0
2152.0,2153.0,32.04,240.3,-11391888,0.0
2158.0,2159.0,15.49,115.45,-11405179#0,0.0
2160.0,2161.0,13.53,105.38,-11405179#1,0.0
2170.0,2171.0,10.3,80.62,-11405329#1,0.0
2172.0,2173.0,11.27,87.29,-11405329#2,0.0
