"simulation_index","MOD_demand_subset","fleet_size","network_name","vehtype","objective_function","evaluation_int_start","evaluation_int_end","random_seed","start_time","end_time","op_module","demand_base","network_type","sim_env","sumo_t_update","sumo_fcd_vehicles","rerouting_sc","hybrid_router","p_ref","reliable_tt_det","f_det","reliable_tt_prob","k_quantile","sim_declined_rq","rtt_corr_add","op_max_wait_time","routing_behavior_scenario","op_const_boarding_time","Simulated?"
"57","0.1","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"58","0.2","10000","sumo_berlin","FP_pooling_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"59","0.4","20000","sumo_berlin","FP_pooling_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"60","0.6","30000","sumo_berlin","FP_pooling_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"61","0.8","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"62","1","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","21600","25200","0","18000","28800","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"63","0.02","1000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"64","0.05","2500","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"65","0.1","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"66","0.2","10000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"67","0.4","20000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"68","0.6","30000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"69","0.8","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"70","1","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"71","0.02","1000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"72","0.05","2500","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"73","0.1","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"74","0.2","10000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"75","0.4","20000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"76","0.6","30000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"77","0.8","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"78","1","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","72000","75600","0","68400","79200","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"79","0.02","2000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"80","0.05","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"81","0.1","10000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"82","0.2","20000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"83","0.4","40000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"84","0.6","60000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"85","0.8","80000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"86","1","100000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_1.0",,"0","","0","","0","","ignore","","300","","30","0"
"87","0.02","2000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
"88","0.05","5000","sumo_berlin","FP_pooling_vehtype","total_system_time","57600","61200","0","54000","68400","PoolingIRSOnly","sumo_berlin","NetworkBasicWithStoreCppSumoCoupling","SUMOcontrolledSim","450","op_0-pv_0.0",,"0","","0","","0","","ignore","","300","","30","0"
