,from_node,to_node,edge_tt
20060,19828,19829,5.035
20061,19840,19841,5.862
20062,19842,19843,8.485
20063,19844,19845,2.217
20064,19894,19895,15.964
20065,19970,19971,3.33
20066,19972,19973,9.7
20067,19974,19975,0.327
20068,19976,19977,0.238
20069,20138,20139,2.559
20070,20140,20141,2.303
20071,20142,20143,6.099
20072,20144,20145,0.996
20073,20146,20147,2.851
20074,20148,20149,27.636
20075,20154,20155,0.152
20076,20156,20157,0.96
20077,20254,20255,1.798
20078,20256,20257,3.728
20079,20258,20259,6.357
20080,20260,20261,15.28
20081,20262,20263,8.321
20082,20264,20265,2.078
20083,20266,20267,1.121
20084,20268,20269,3.505
20085,20272,20273,0.725
20086,20274,20275,3.192
20087,20276,20277,2.558
20088,20278,20279,0.04
20089,20304,20305,31.799
20090,20306,20307,0.514
20091,20308,20309,28.117
20092,20310,20311,5.692
20093,20312,20313,6.61
20094,20314,20315,0.734
20095,20316,20317,0.251
20096,20318,20319,1.133
20097,20358,20359,5.716
20098,20392,20393,0.028
20099,20420,20421,17.87
20100,20422,20423,1.977
20101,20424,20425,2.545
20102,20426,20427,0.919
20103,20428,20429,0.933
20104,20430,20431,1.608
20105,20436,20437,1.827
20106,20438,20439,4.916
20107,20442,20443,1.346
20108,20444,20445,6.545
20109,20446,20447,2.237
20110,20448,20449,6.943
20111,20450,20451,16.819
20112,20452,20453,6.949
20113,20454,20455,6.314
20114,20456,20457,0.106
20115,20458,20459,2.529
20116,20460,20461,1.169
20117,20462,20463,1.725
20118,20464,20465,7.366
20119,20466,20467,20.179
20120,20654,20655,5.105
20121,20656,20657,4.178
20122,20658,20659,5.918
20123,20664,20665,3.993
20124,20832,20833,2.311
20125,20834,20835,3.146
20126,20836,20837,1.982
20127,20838,20839,2.48
20128,20982,20983,2.403
20129,21010,21011,2.599
20130,21012,21013,3.872
20131,21014,21015,2.461
20132,21016,21017,5.866
20133,21018,21019,4.227
20134,21032,21033,32.475
20135,21034,21035,17.487
20136,21082,21083,1.255
20137,21084,21085,2.18
20138,21160,21161,0.557
20139,21242,21243,9.889
20140,21258,21259,18.822
20141,21260,21261,9.168
20142,21262,21263,4.112
20143,21264,21265,5.641
20144,21266,21267,5.21
20145,21268,21269,4.59
20146,21270,21271,4.119
20147,21272,21273,0.36
20148,21274,21275,1.522
20149,21330,21331,9.849
20150,21332,21333,2.75
20151,21364,21365,2.943
20152,21446,21447,0.244
20153,21448,21449,4.569
20154,21450,21451,12.919
20155,21452,21453,2.682
20156,21454,21455,9.042
20157,21456,21457,2.804
20158,21458,21459,1.321
20159,21460,21461,7.705
20160,21462,21463,11.87
20161,21464,21465,10.232
20162,21472,21473,8.091
20163,21474,21475,0.655
20164,21478,21479,2.592
20165,21504,21505,13.648
20166,21550,21551,2.196
20167,21552,21553,0.171
20168,21554,21555,1.595
20169,21560,21561,0.74
20170,21564,21565,3.005
20171,21816,21817,10.657
20172,21818,21819,12.376
20173,21820,21821,3.689
20174,21822,21823,2.055
20175,21824,21825,1.465
20176,21832,21833,9.37
20177,21890,21891,8.636
20178,21892,21893,11.48
20179,21894,21895,0.592
20180,21896,21897,8.247
20181,21898,21899,3.556
20182,21900,21901,1.428
20183,21902,21903,5.464
20184,21904,21905,2.715
20185,21950,21951,11.427
20186,21968,21969,3.84
20187,21970,21971,6.065
20188,21972,21973,3.196
20189,21974,21975,4.065
20190,21976,21977,5.157
20191,22038,22039,1.678
20192,22040,22041,1.229
20193,22042,22043,12.366
20194,22044,22045,27.733
20195,22142,22143,12.939
20196,22144,22145,5.31
20197,22148,22149,6.005
20198,22150,22151,4.395
20199,22152,22153,6.44
20200,22154,22155,5.602
20201,22156,22157,3.337
20202,22158,22159,3.947
20203,22162,22163,0.474
20204,22164,22165,25.415
20205,22166,22167,0.813
20206,22182,22183,6.959
20207,22184,22185,0.069
20208,22186,22187,0.192
20209,22188,22189,0.661
20210,22190,22191,1.94
20211,22192,22193,0.122
20212,22194,22195,3.357
20213,22196,22197,1.89
20214,22198,22199,1.396
20215,22204,22205,1.45
20216,22206,22207,1.64
20217,22208,22209,1.065
20218,22222,22223,1.462
20219,22224,22225,1.615
20220,22226,22227,3.951
20221,22228,22229,0.759
20222,22230,22231,4.058
20223,22234,22235,3.388
20224,22264,22265,9.114
20225,22268,22269,18.136
20226,22390,22391,22.735
20227,22392,22393,1.034
20228,22402,22403,269.467
20229,22428,22429,14.923
20230,22430,22431,0.213
20231,22440,22441,6.654
20232,22442,22443,2.454
20233,22444,22445,15.454
20234,22530,22531,15.029
